Operational unit,Unit code,Internal cost code,CIPFA expenses type,Transaction date,Transaction number,Net amount,Supplier name,Supplier ID
Development Management,DN01,Other expenses,Supplies & Services,2011-08-06,610039,3549.6,Philippa Jarvis Planning Consultancy Ltd,14796
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,2011-08-06,610037,777.94,Richard Strange,14774
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2011-09-06,3025521,17101.3,Henley On Thames Town Council,10316
Car Parks Holding Account,X805,Henley / OCC Car parks Cash Holding Account,Appropriations and other non Cipfa Sub Group Accounts,2011-09-06,3025525,19836.63,Henley On Thames Town Council,10316
Building Control Services,BC01,Agency staff,Employees,2011-09-06,610041,725,Hays PLC,13362
Building Control Services,BC01,Agency staff,Employees,2011-09-06,610042,725,Hays PLC,13362
Facilities Management,FM01,Premises service charges,Premises,2011-09-06,3025474,5530.2,G4S Technology Limited,10287
Computer Administration,CE99,Consultants-Projects,Supplies & Services,2011-09-06,610053,1095,ESRI UK Ltd,10238
Great Milton Reacreation Ground,A205,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,2011-10-06,3025562,3199,Great Milton Recreation Ground Management Committee,11004
Hackney Carriage Licences,HL01,Agency staff,Employees,2011-10-06,3025492,3511.96,Champion Recruitment,10148
Concessionary Fares Agency,RB06,Software purchase & licence,Supplies & Services,2011-10-06,610061,1914.34,Applied technologies Ltd,11906
Revenue Grants L&C,GR30,Grants,Supplies & Services,2011-10-06,3025557,20000,Didcot Train Youth Project,11707
Training Budget,TR00,"Training - HR, IT, Customer",Employees,13/06/2011,610084,649,Hawksmere Ltd,10303
EH - Contaminated Land,EH04,Consultants-Projects,Supplies & Services,13/06/2011,610073,3275.28,Atkins Ltd,10067
Safer & Stronger Communities Fund,DR05,Professional,Supplies & Services,13/06/2011,610072,10000,Mears Home Improvement Ltd,14741
Transforming the website,A178,Consultation costs,Supplies & Services,13/06/2011,610086,8632,Nameless,14413
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,13/06/2011,610077,2533.5,Off The Kerb Productions,13249
Facilities Management,FM01,Hire of equipment,Supplies & Services,13/06/2011,610088,2700,The Oxford Sound Company Ltd,11351
Concessionary Fares Agency,RB06,Capita Contract,Third Party Payments,13/06/2011,610064,2567,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,13/06/2011,610065,607.6,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,13/06/2011,610066,-4392.92,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,13/06/2011,610066,8785.84,Capita Business Services,10129
Benefits Admin,RB05,Capita Contract,Third Party Payments,13/06/2011,610075,68711.98,Capita Business Services,10129
Accounts Receivable,ES03,Capita Contract,Third Party Payments,13/06/2011,610075,2427.18,Capita Business Services,10129
Accounts Payable,ES02,Capita Contract,Third Party Payments,13/06/2011,610075,2032.9,Capita Business Services,10129
Payroll,PY01,Capita Contract,Third Party Payments,13/06/2011,610075,2884.1,Capita Business Services,10129
Council Tax Admin,RB03,Capita Contract,Third Party Payments,13/06/2011,610075,44159,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,13/06/2011,610075,7372,Capita Business Services,10129
Cash Office,ES01,Capita Contract,Third Party Payments,13/06/2011,610075,1841.57,Capita Business Services,10129
General Ledger,AC02,Capita Contract,Third Party Payments,13/06/2011,610075,3816.04,Capita Business Services,10129
Revenues Client,RB04,Capita Contract,Third Party Payments,13/06/2011,3025509,14853.39,Capita Business Services,10129
Revenues Client,RB04,Capita Contract,Third Party Payments,13/06/2011,3025567,13058.32,Capita Business Services,10129
NNDR Admin,RB02,Capita Contract,Third Party Payments,13/06/2011,3025568,1833.8,Capita Business Services,10129
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,14/06/2011,3025117,1492,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,14/06/2011,3025564,3494.72,SOHA Housing Ltd,10651
SOHA contributions - DFGs,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,14/06/2011,3025564,-600,SOHA Housing Ltd,10651
Parks and Open Spaces,OP01,Repairs & Maintenance of Grounds,Premises,14/06/2011,610079,4691.52,G BURLEY and SONS LTD,10901
Didcot Arts Centre,AR04,Electricity,Premises,14/06/2011,3025542,2162.84,Southern Electric plc,10665
Didcot Arts Centre,AR04,Gas,Premises,14/06/2011,3025570,597.05,SWALEC,10686
Leisure,LE01,Repairs and maintenance to land and buildings,Premises,14/06/2011,610059,542.18,THAMES VALLEY TEMPERATURE CONTROL,10711
Public Art - Orchard Centre,X130,Professional,Supplies & Services,14/06/2011,609949,700,APT STUDIOS,14788
Didcot Arts Centre,AR04,Materials & consumables,Supplies & Services,14/06/2011,609951,688,ESPO,12935
Post Room,DP01,Communications - Postages,Supplies & Services,14/06/2011,609947,7225,Forbo Flooring UK Ltd,11238
Economic Development,ED00,Miscellaneous-Projects,Supplies & Services,14/06/2011,610074,750,Monson Engineering Ltd,14359
PC & Intelligent Terminals,CE10,Computer Maintenance of hardware,Supplies & Services,14/06/2011,609842,548.8,Oce UK Limited,10501
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,14/06/2011,610102,1618.17,Off The Kerb Productions,13249
Public Art - Orchard Centre,X130,Professional,Supplies & Services,14/06/2011,610051,700,PABLO BRUERA,14791
Elections,EL01,Purchase of equipment,Supplies & Services,14/06/2011,610107,41730,Print UK Com,13375
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,14/06/2011,3025577,2125.81,SOUTH OXFORDSHIRE DISTRICT COUNCIL,11130
Building Control Services,BC01,Agency staff,Employees,15/06/2011,609731,681.5,Hays PLC,13362
EH - Administration,EH01,Subscriptions,Supplies & Services,15/06/2011,610118,595,Environmental Protection UK,12084
Pest Control Service,PC01,Pest control services,Supplies & Services,15/06/2011,610114,2068,Total Pest Control UK Ltd,13703
Didcot Wave Gym Equipment,A198,Purchase of plant and equipment,Appropriations and other non Cipfa Sub Group Accounts,16/06/2011,3025524,3507.4,Crown Interiors Limited,14506
Commercial Sites,MP11,Agency staff,Employees,16/06/2011,3025505,2150.36,Champion Recruitment,10148
Commercial Sites,MP11,Agency staff,Employees,16/06/2011,3025574,-2150.36,Champion Recruitment,10148
Riverside Car Park Wallingford,CP13,Repairs and maintenance to land and buildings,Premises,16/06/2011,609803,1713.8,PETER L MANSBRIDGE & SON,14754
Building Control Services,BC01,Agency staff,Employees,17/06/2011,610145,725,Hays PLC,13362
Land Charges,LC01,Fees and charges income,Income,17/06/2011,3024536,10000,Oxfordshire County Council,13934
Land Charges,LC01,Fees and charges income,Income,17/06/2011,3025032,-10000,Oxfordshire County Council,13934
St Albans Car Park Wallingford,CP14,Repairs and maintenance to land and buildings,Premises,17/06/2011,609576,801,Wallingford Town Council,10792
EH - Env Protection,EH06,Dog warden services,Supplies & Services,17/06/2011,610141,1271,Barnewood Boarding Kennels,14674
Customer Contact (Was Contact Centre),CZ01,Professional,Supplies & Services,17/06/2011,610067,17406.84,Capita Business Services,10129
Public Art - Orchard Centre,X130,Professional,Supplies & Services,17/06/2011,610143,700,MARIA ROSA KRAMER,14790
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,17/06/2011,610142,736.21,Martin Harley Band,14399
Computer Administration,CE99,Consultation costs,Supplies & Services,17/06/2011,610137,3600,Network Design and Support,13771
EH - Env Protection,EH06,Dog warden services,Supplies & Services,17/06/2011,610140,1075,Noahs Ark Environmental Services Ltd,14716
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,17/06/2011,3025598,1400,REDACTED PERSONAL INFORMATION,10535
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025605,5579,D J Taylor Ltd,11329
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025608,3690,Easy Bathroom,14263
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025606,3750,R and D Contractors,10577
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025603,9386,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025603,600,SOHA Housing Ltd,10651
Mandatory disabled facilities grants,X108,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025604,1396,SOHA Housing Ltd,10651
SOHA contributions - DFGs,X178,Third Party Payments,Appropriations and other non Cipfa Sub Group Accounts,20/06/2011,3025603,-600,SOHA Housing Ltd,10651
Didcot Arts Centre,AR04,Repairs & Maintenance of Fixtures & Fittings,Premises,20/06/2011,610155,553.69,DL Spencer,13991
Didcot Arts Centre,AR04,Water rates,Premises,20/06/2011,3025610,642.42,THAMES WATER UTILITIES Ltd,10712
Revenue Grants L&C,GR30,Grants,Supplies & Services,20/06/2011,3025616,21500,Age Concern Oxfordshire,11026
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,20/06/2011,610136,625,Fools Paradise Ltd,12124
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,21/06/2011,610168,25742.5,Catalyst Housing Group,12412
Personnel Administration,AD02,Staff Loans,Appropriations and other non Cipfa Sub Group Accounts,21/06/2011,609976,833.33,Cyclescheme Ltd,12694
"HR, IT & customer services",TR02,Staff training,Employees,21/06/2011,610169,505,Chartered Instituted of Personnel and Develpment,13982
Management Development,TR13,Staff training,Employees,21/06/2011,610166,970,City University London,13298
Facilities Management,FM01,Hire of equipment,Supplies & Services,21/06/2011,610170,1200,CoolerAid Ltd,14403
Electoral Registration,RE01,Licences,Supplies & Services,21/06/2011,610153,543.17,Halarose Limited,10299
Homelessness Nightly Paid,HM01,Nightly Paid Accomodation,Supplies & Services,21/06/2011,3025612,522.18,SOUTH OXFORDSHIRE DISTRICT COUNCIL,11130
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,21/06/2011,610158,596.28,Susie Crow/Ballet in Small Spaces,14813
External Audit,AU02,Audit Fees,Supplies & Services,21/06/2011,610126,9266,The Audit Commission,10716
Other Car Parks,CP99,Third Party Payments - Security,Third Party Payments,21/06/2011,610057,1748.46,Jade Security Services Ltd,10388
Kidmore End Parish Council,A185,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,22/06/2011,3025582,15160,Kidmore End Parish Council,10405
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,22/06/2011,3025571,8644.02,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,22/06/2011,3025614,10819.37,Sundry Supplier,99999
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,22/06/2011,3025615,28140.3,Sundry Supplier,99999
AR Control A/c,X004,AR Cash Contra Account,Appropriations and other non Cipfa Sub Group Accounts,22/06/2011,3025548,945,Thames Valley Police Authority,10709
Building Control Services,BC01,Agency staff,Employees,22/06/2011,3025501,546.6,Champion Recruitment,10148
Legal,LS01,Agency staff,Employees,22/06/2011,3025503,3148.38,Champion Recruitment,10148
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,22/06/2011,3025584,842.76,BT Plc,10113
Benefit Fraud Investigations,RB01,Fees and hired services,Supplies & Services,22/06/2011,3024973,4985.94,Capita Business Services,10129
Benefit Fraud Investigations,RB01,Fees and hired services,Supplies & Services,22/06/2011,3025625,-4985.94,Capita Business Services,10129
Didcot Arts Centre,AR04,Communications - Postages,Supplies & Services,22/06/2011,610133,546.06,Neopost Finance Ltd,10478
Computer Administration,CE99,Professional,Supplies & Services,22/06/2011,610135,1894.5,Network Design and Support,13771
Social Housing Initiatives,X110,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,23/06/2011,610189,25132.5,Catalyst Housing Group,12412
EH - Administration,EH01,Maintenance of equipment,Supplies & Services,23/06/2011,3025634,570,Astraline,14731
Building Control Services,BC01,Agency staff,Employees,24/06/2011,610198,725,Hays PLC,13362
Facilities Management,FM01,Maintenance contracts,Supplies & Services,24/06/2011,610195,567.69,MJF Corporate Guarding Ltd,13500
CIF 2008/09 Delegated Power,A167,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,27/06/2011,3025654,3000,Girl Guiding - Didcot,14822
2010/11 Delegated Powers,A206,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,27/06/2011,3025652,5671,Thame Town cricket Club,14814
Telecommunications,CE70,Communications - Telephones & Fax,Supplies & Services,27/06/2011,3025645,1314.6,AVANQUEST UK LTD,10876
Central Planning,PA01,Subscriptions,Supplies & Services,27/06/2011,610184,1620,Haymarket Media Group,12283
Didcot Arts Centre,AR04,Performers Fees and Charges,Supplies & Services,27/06/2011,610215,2649.29,Lakin McCarthy Entertainment,13700
Hackney Carriage Licences,HL01,Materials & consumables,Supplies & Services,27/06/2011,610210,1004,NewAuto Ltd,11600
Policy Team,PP01,Consultation costs,Supplies & Services,27/06/2011,610052,1371.1,Programme Officer Services Limited,14799
Policy Team,PP01,Consultation costs,Supplies & Services,27/06/2011,610052,1041.48,Programme Officer Services Limited,14799
CIF 0708 Delgated Power,X192,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,28/06/2011,3025656,2500,1st Berinsfield Scouts,14758
CIF grants - 10/11 delegated powers,A199,Capital grants other,Appropriations and other non Cipfa Sub Group Accounts,28/06/2011,3025657,13961,Didcot and District Citizens Advice Bereau,10197
Pension Costs - Compens,PY02,Pensions - Compens,Employees,28/06/2011,3025663,19496.24,Oxfordshire CC,10523
Pension Costs - Compens,PY02,Superannuation - ER,Employees,28/06/2011,3025663,24583.33,Oxfordshire CC,10523
Commercial Sites,MP11,Repairs and maintenance to land and buildings,Premises,28/06/2011,3025647,596,Southern Gas Networks,14805
Didcot Arts Centre,AR04,Repairs and maintenance to land and buildings,Premises,28/06/2011,610222,934,Total Pest Control UK Ltd,13703
Other Car Parks,CP99,Waste Collection Biffa Fixed All,Third Party Payments,28/06/2011,610225,994.83,Biffa,10778
Recycling,RY01,Waste Collection Biffa Fixed All,Third Party Payments,28/06/2011,610225,173551.76,Biffa,10778
Recharges to Vale,RC10,Waste Collection Biffa Fixed All,Third Party Payments,28/06/2011,610225,520655.29,Biffa,10778
Flood Alleviation Schemes,A143,Main Capital Contract,Appropriations and other non Cipfa Sub Group Accounts,29/06/2011,610249,21688.3,Drayton Construction Ltd,14256
Balance Sheet,X900,Collection fund - NNDR refunds,Appropriations and other non Cipfa Sub Group Accounts,29/06/2011,3025665,35975.15,Sundry Supplier,99999
Land Charges,LC01,Fees and charges income,Income,29/06/2011,610220,515.04,Oxfordshire County Council,13934
Facilities Management,FM01,Electricity,Premises,29/06/2011,3025591,3680.74,Southern Electric plc,10665
EH - Env Protection,EH06,Miscellaneous-Projects,Supplies & Services,29/06/2011,610247,10354,Kings College London,13608
Policy Team,PP01,Consultation costs,Supplies & Services,29/06/2011,610218,656.51,Programme Officer Services Limited,14799
Policy Team,PP01,Consultation costs,Supplies & Services,29/06/2011,610218,1621.1,Programme Officer Services Limited,14799
